Word,Meaning,Example
ABATE,"very much; to detest

To abhor something is to view it with horror","Hating a person is
almost friendly in comparison with abhorring him or her."
ABIECT,"or something so deep that it
seems bottomless, Abysmal despair is despair so deep’ that no hope
seems possible","The nation’s debt crisis was abysmal; there seemed to be no pos-
sible solution to it.
Abysmal is often used somewhat sloppily to mean very bad. You"
ACCOLADE,"“Bill alleges that I stole his hat,” I am saying two things:
1",Bill says I stole his hat.
ALLEVIATE,"usually temporarily or incom-
pletely; to make bearable; to lessen
Aspirin alleviates headache pain","When your headache comes back,
_ take some more aspirin. :
Visiting the charming pet cemetery alleviated the woman’ s grief
over the death of her canary."
ALLOCATE,"usually metals

Brass is an alloy of copper and zinc","That i is, you make brass by
combining copper and zinc. - |"
ALLUSION,"the condition that
causes characters in movies to forget everything except how to speak
English and drive their cars","An amnesty is an official forgetting. When a state government
declares a tax amnesty, it is saying that if people pay the taxes they
- owe, the government wilt officially “forget” that they broke the law by
not paying them in the first place. .
The word amnesty always refers to a pardon given to a group or
class of people. A pardon granted to a single person is simply a pardon."
AMORAL,"neither moral nor immoral; without moral feelings
Very young children are amoral; when they cry, they aren't being
bad or good, they’re merely doing what they have to do","A moral person does right, an immoral person does wrong; an
amoral person simply does. ."
AMOROUS,"especially in a sexual sense;
in love; relating to love
The amorous couple made quite a scene at the movie","The movie
they were watching, Love Story, was pretty amorous itself. It was
about an amorous couple, one of whom died."
AMORPHOUS,"often witty saying; a proverb
: Benjamin Franklin was fond of aphorisms","He was frequently apho-
ristic, cat"
APOCALYPSE,although aristocrats tend to be quite wealthy,"There is nothing
you can do to become an aristocrat, short of being t born into a family
of them."
ASSIDUOUS,to let it soak in,
ASSUAGE,"weakening, or
loss; a naturol or expected decrease in numbers or size
Mr","Gregory did not have the heart to fire his workers even though
his company was losing millions each year. He altruistically preferred
to lose workers through attrition when they moved away, retired, or
decided to change jobs. :"
AUDACITY,"the boring speaker belabored his point
about the challenge of foreign competition","Mr. Irving spent the entire period belaboring the obvious; he made
the same dumb observation over and over again."
BELEAGUER,or wishing to do harm,BENIGN (bi NYNE) adj gentle; not harmful; kind; mild
BEQUEST,"especially
through death
The new widow was still bereaved when we saw her","Every time
anyone mentioned her dead husband's name. she burst into tears.
The children were bereaved by the death of their pet. Then they got
a new pet. .
Bereft (buh REFT) means the same thine as ovreaved."
BESET,"usually in a pejorative
sense; boringly conventional

The original bourgeoisie (boor zhwaw ZEE) were simply people
who lived in cities, an innovation at the time","They weren't farmers
and they weren’t nobles. They were members of a new class—the
middle class. Now the word is used mostly in making fun of or sneer-
ing at people who seem to think about nothing but their possessions
and othef comforts and about conforming with other people who share
those concerns. . ."
BOVINE,"inexperienced, and unso-
phisticated",A teenager might show callow disregard for the feelings of adults.
CANDOR,"offen to prove some point about its
subject
Editorial cartoonists often draw caricatures","Big noses, enormous
glasses, floppy ears, and other distortions are common in such draw-
ings. A politician who has been convicted of bribery might be depicted
in a prison uniform or with a ball and chain around his ankle. If the
politician has big ears to begin with, the ears might be drawn vastly
bigger.
A caricature uses exaggeration to bring out the hidden character of
its subject.
The word can also be used.as a verb. To caricature someone is to
create such a distorted portrait."
CASTIGATE,"something that changes the rate
of a chemical reaction without itself being ch changed; onyone ér any-
thing that makes something happen without being diréctly involved in it
When the mad scientist dropped a few grains of the catalyst into his
test tube, the bubbling liquid began to boil furiously","This word is often used outside the laboratory as well. The launch-
ing of Sputnik by the Russians provided the catalyst for the creation of
» the modern American space program.
The tragic hijacking provided the catalyst for Congress's new anti-
terrorist legislation."
CATEGORICAL,"talking to a psychiatrist
can lead to a catharsis","A catharsis is a sometimes traumatic event
after which one feels better."
CATHOLIC,"Darth Vader tried gifts, Darth Vader
even tried to coerce, but Darth Vader was never able to make Han Solo
reveal the hidden rebel base",":
The noun is coercion (koh UR shun)."
COGENT,that the party would be a big flop,gute
CONGENIAL,"particularly in matters of

art or taste :

The artist's work was very popular, but connoisseu
amateurish","Frank was a connoisseur of bad movies. He had seer them all and
knew which ones were genuinely dreadful and which ones were merely
poorly made."
